Materials,CAS,smiles,Compounds,MR,PU,EPE,Paper,T,group
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.094340128,0,0,1,5,training
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DEHP,0.350405388,0,0,1,25,training
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,0.779434196,0,0,1,40,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,0.631581608,0,0,1,5,test
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.610854344,0,0,1,25,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.736538198,0,0,1,40,training
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,0.374914732,0,0,1,25,training
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,0.556813792,0,0,1,40,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,0.337093239,0,0,1,5,test
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,0.428147497,0,0,1,25,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,0.652089785,0,0,1,40,training
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC  ,DPHP,0.154361086,0,0,1,25,training
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC  ,DPHP,0.344816981,0,0,1,40,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC  ,DOTP,0.208726539,0,0,1,25,test
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC  ,DOTP,0.468214659,0,0,1,40,training
