Materials,CAS,smiles,Compounds,beta,T,PU,EPE,paper,group
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.759,5,0,0,1,training
EPE,126-71-6,CC(C)COP(=O)(OCC(C)C)OCC(C)C,TIBP,0.769,5,0,1,0,training
EPE,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BP,0.803,5,0,1,0,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,0.807,25,1,0,0,training
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC,DPHP,0.841,25,0,0,1,test
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC,DPHP,0.851,40,0,0,1,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,DOTP,0.855,25,0,0,1,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,DOTP,0.874,40,0,0,1,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.886,25,0,0,1,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,ATBC,0.888,40,0,0,1,training
PU,78-40-0,CCOP(=O)(OCC)OCC,TEP,1.17,40,1,0,0,training
EPE,119-61-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BP,1.39,40,0,1,0,training
