Materials,CAS,smiles,Compounds,logτ,PU,EPE,Paper,T,group
Paper,117-81-7,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC  ,DEHP,1.87279704,0,0,1,40,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,DBP,2.098297536,0,0,1,5,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.374748346,0,0,1,25,training
Paper,84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC  ,DBP,0.665580991,0,0,1,40,training
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,-0.26760624,0,0,1,25,test
Paper,25973-55-1,CCC(C)(C)C1=CC(=C(C(=C1)N2N=C3C=CC=CC3=N2)O)C(C)(C)CC  ,UV-328,0.195899652,0,0,1,40,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,2.128399269,0,0,1,5,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,1.956648579,0,0,1,25,training
Paper,77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C  ,ATBC,1.667452953,0,0,1,40,training
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC  ,DPHP,2.206825876,0,0,1,25,test
Paper,53306-54-0,CCCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCC(CCC)CCCCC  ,DPHP,2.080626487,0,0,1,40,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC  ,DOTP,2.341434525,0,0,1,25,training
Paper,6422-86-2,CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC  ,DOTP,1.870988814,0,0,1,40,training
